front_sentence,front_word,front_quote,back_word,back_sentence
La gente applaude — l’atmosfera è piena.,applaude,"applaude fa rima con applaudiert, ricorda questa scena!",applaudiert,Das Publikum applaudiert – die Stimmung ist voll.
"Ma da una fessura in alto, lì vicino,",fessura in alto,"fessura in alto fa rima con Spalt hoch oben, ricorda questa scena!",Spalt hoch oben,"Aber aus einem Spalt hoch oben, gleich daneben..."
Sbucano due gatti con passo felino.,passo felino,"passo felino fa rima con Katzenschritt, ricorda questa scena!",Katzenschritt,Zwei Katzen erschienen mit Katzenschritt.
"Saltan sul palco, in mezzo all’atto,",Saltan sul palco,"Saltan sul palco fa rima con springen auf die Bühne, ricorda questa scena!",springen auf die Bühne,"Sie springen auf die Bühne, mitten in der Szene."
"Gli attori gelati, il pubblico in patto.",attori gelati,"attori gelati fa rima con gefrorene Schauspieler, ricorda questa scena!",gefrorene Schauspieler,"Die Schauspieler erstarrten, das Publikum einverstanden."
"Qualcuno ride, altri han stupore,",Qualcuno ride,"Qualcuno ride fa rima con manche lachen, ricorda questa scena!",manche lachen,"Manche lachen, andere sind verwundert."
Ma i due già spariti nel retro del cuore.,retro del cuore,"retro del cuore fa rima con Hinterbühne des Herzens, ricorda questa scena!",Hinterbühne des Herzens,Aber sie verschwanden schon in der Hinterbühne des Herzens.
Quindicesimo Scherzo – Rave Felino,Rave Felino,"Rave Felino fa rima con Katzenrave, ricorda questa scena!",Katzenrave,Fünfzehnter Streich – Katzenrave.
"In un rave vicino a Gesundbrunnen,",rave vicino a Gesundbrunnen,"rave vicino a Gesundbrunnen fa rima con Rave bei Gesundbrunnen, ricorda questa scena!",Rave bei Gesundbrunnen,Auf einem Rave bei Gesundbrunnen.
"Dove i bassi fan vibrare anche i cuscini,",bassi fan vibrare,"bassi fan vibrare fa rima con Bässe lassen vibrieren, ricorda questa scena!",Bässe lassen vibrieren,Wo Bässe sogar Kissen vibrieren lassen.
"Ciri si infila tra luci e suoni,",luci e suoni,"luci e suoni fa rima con Lichter und Klänge, ricorda questa scena!",Lichter und Klänge,Ciri taucht ein zwischen Lichter und Klänge.
Cappuccino danza tra mille ronzii buoni.,ronzii buoni,"ronzii buoni fa rima con wohlige Summen, ricorda questa scena!",wohlige Summen,Cappuccino tanzt zwischen wohligen Summen.
"Fanno cadere cuffie e vinili,",cuffie e vinili,"cuffie e vinili fa rima con Kopfhörer und Vinyls, ricorda questa scena!",Kopfhörer und Vinyls,Sie lassen Kopfhörer und Vinyls fallen.
Poi corrono via tra i ballerini agili.,ballerini agili,"ballerini agili fa rima con flinke Tänzer, ricorda questa scena!",flinke Tänzer,Dann rennen sie durch die Menge flinker Tänzer.
"""Chi ha portato i gatti in pista?""",gatti in pista,"gatti in pista fa rima con Katzen auf der Tanzfläche, ricorda questa scena!",Katzen auf der Tanzfläche,„Wer hat Katzen auf die Tanzfläche gebracht?“
Ma loro eran già — fuori lista!,fuori lista,"fuori lista fa rima con nicht auf der Gästeliste, ricorda questa scena!",nicht auf der Gästeliste,Aber sie waren längst draußen – nicht auf der Gästeliste!
Sedicesimo Scherzo – Graffiti con Zampette,Graffiti con Zampette,"Graffiti con Zampette fa rima con Graffiti mit Pfoten, ricorda questa scena!",Graffiti mit Pfoten,Sechzehnter Streich – Graffiti mit Pfoten.
"Artisti di notte con bombolette,",bombolette,"bombolette fa rima con Spraydosen, ricorda questa scena!",Spraydosen,Künstler der Nacht mit Spraydosen.
Spruzzavano muri con idee perfette.,idee perfette,"idee perfette fa rima con perfekte Ideen, ricorda questa scena!",perfekte Ideen,Sie besprühen Wände mit perfekten Ideen.
"I gatti curiosi tra colori e linee,",colori e linee,"colori e linee fa rima con Farben und Linien, ricorda questa scena!",Farben und Linien,Die Katzen erkunden Farben und Linien.
Lasciano zampe in tangerine.,zampe in tangerine,"zampe in tangerine fa rima con Pfoten in Mandarinenorange, ricorda questa scena!",Pfoten in Mandarinenorange,Sie hinterlassen Pfoten in Mandarinenorange.
"Passan sul blu, poi rosa e verde,","blu, poi rosa e verde","blu, poi rosa e verde fa rima con Blau, dann Rosa und Grün, ricorda questa scena!","Blau, dann Rosa und Grün","Sie laufen über Blau, dann Rosa und Grün."
Colle code dan forma che si perde.,code dan forma,"code dan forma fa rima con Schwänze formen Muster, ricorda questa scena!",Schwänze formen Muster,Ihre Schwänze formten ein sich verlierendes Muster.
Al mattino tutti a fotografare:,tutti a fotografare,"tutti a fotografare fa rima con alle fotografieren, ricorda questa scena!",alle fotografieren,"Am Morgen kamen alle, um Fotos zu machen."
“Arte felina! Da incorniciare!”,Arte felina,"Arte felina fa rima con Katzenkunst, ricorda questa scena!",Katzenkunst,„Katzenkunst! Zum Einrahmen!“
Diciassettesimo Scherzo – Forno e Sonnellino,Forno e Sonnellino,"Forno e Sonnellino fa rima con Bäckerei und Nickerchen, ricorda questa scena!",Bäckerei und Nickerchen,Siebzehnter Streich – Bäckerei und Nickerchen.
"Un panificio chiuso e silenzioso,",panificio chiuso,"panificio chiuso fa rima con geschlossene Bäckerei, ricorda questa scena!",geschlossene Bäckerei,"Eine geschlossene, stille Bäckerei."
Profumava di pane e di riposo.,Profumava di pane,"Profumava di pane fa rima con roch nach Brot, ricorda questa scena!",roch nach Brot,Es roch nach Brot und nach Ruhe.
"Cappuccino trovò uno spiraglio stretto,",spiraglio stretto,"spiraglio stretto fa rima con enger Spalt, ricorda questa scena!",enger Spalt,Cappuccino fand einen engen Spalt.
Ciri lo seguì — con passo perfetto.,passo perfetto,"passo perfetto fa rima con perfekter Schritt, ricorda questa scena!",perfekter Schritt,Ciri folgte ihm – mit perfektem Schritt.
"Si sdraiarono tra pani fragranti,",pani fragranti,"pani fragranti fa rima con duftende Brote, ricorda questa scena!",duftende Brote,Sie legten sich zwischen duftende Brote.
Sognando brioche e dolci croccanti.,brioche e dolci croccanti,"brioche e dolci croccanti fa rima con Croissants und knusprige Süßigkeiten, ricorda questa scena!",Croissants und knusprige Süßigkeiten,Sie träumten von Croissants und knusprigen Süßigkeiten.
Il fornaio urlò: “Il mio pane di segale!”,pane di segale,"pane di segale fa rima con Roggenbrot, ricorda questa scena!",Roggenbrot,Der Bäcker rief: „Mein Roggenbrot!“
Ma accarezzandoli — perse ogni regola.,accarezzandoli,"accarezzandoli fa rima con streichelnd, ricorda questa scena!",streichelnd,Aber indem er sie streichelte – vergaß er jede Regel.
Diciottesimo Scherzo – Galleria d'Arte,Galleria d'Arte,"Galleria d'Arte fa rima con Kunstgalerie, ricorda questa scena!",Kunstgalerie,Achtzehnter Streich – Kunstgalerie.
"Alla galleria vicino alla piazza,",galleria vicino alla piazza,"galleria vicino alla piazza fa rima con Galerie nahe dem Platz, ricorda questa scena!",Galerie nahe dem Platz,In der Galerie nahe dem Platz.
"Tra quadri astratti e luce che abbraccia,",quadri astratti,"quadri astratti fa rima con abstrakte Gemälde, ricorda questa scena!",abstrakte Gemälde,Zwischen abstrakten Gemälden und einhüllendem Licht.
"Ciri toccava occhi cubisti,",occhi cubisti,"occhi cubisti fa rima con kubistische Augen, ricorda questa scena!",kubistische Augen,Ciri berührte kubistische Augen.
Cappuccino saliva come un alpinista.,come un alpinista,"come un alpinista fa rima con wie ein Bergsteiger, ricorda questa scena!",wie ein Bergsteiger,Cappuccino kletterte wie ein Bergsteiger.
"Zampe su tela, inchiostro versato,",inchiostro versato,"inchiostro versato fa rima con verschüttete Tinte, ricorda questa scena!",verschüttete Tinte,"Pfoten auf Leinwand, verschüttete Tinte."
Impronte rosa — che quadro formato!,impronte rosa,"impronte rosa fa rima con rosafarbene Abdrücke, ricorda questa scena!",rosafarbene Abdrücke,Rosafarbene Abdrücke – welches Bild entstanden!
"Un custode disse: ""Sono arte pop?""",arte pop,"arte pop fa rima con Pop-Art, ricorda questa scena!",Pop-Art,Ein Wächter fragte: „Ist das Pop-Art?“
Con un sospiro e una gran mopp!,sospiro e una gran mopp,"sospiro e una gran mopp fa rima con Seufzer und ein großes Miau, ricorda questa scena!",Seufzer und ein großes Miau,Mit einem Seufzer und einem großen Miau!
Diciannovesimo Scherzo – Natale Scatenato,Natale Scatenato,"Natale Scatenato fa rima con Wilder Weihnachtsstreich, ricorda questa scena!",Wilder Weihnachtsstreich,Neunzehnter Streich – Wilder Weihnachtsstreich.
"Al mercatino di Natale, già di sera,",mercatino di Natale,"mercatino di Natale fa rima con Weihnachtsmarkt, ricorda questa scena!",Weihnachtsmarkt,"Auf dem Weihnachtsmarkt, schon am Abend."
Si intrufolarono tra ogni bancarella vera.,bancarella vera,"bancarella vera fa rima con echter Stand, ricorda questa scena!",echter Stand,Sie schlichen zwischen jedem echten Stand.
"Campanelli, biscotti e candele,","Campanelli, biscotti e candele","Campanelli, biscotti e candele fa rima con Glocken, Kekse und Kerzen, ricorda questa scena!","Glocken, Kekse und Kerzen","Glocken, Kekse und Kerzen."
Giocarono tra luci e cioccolate belle.,cioccolate belle,"cioccolate belle fa rima con schöne Pralinen, ricorda questa scena!",schöne Pralinen,Sie spielten zwischen Lichtern und schönen Pralinen.
"Un pupazzo cadde, una tazza si ruppe,",pupazzo cadde,"pupazzo cadde fa rima con Schneemann fiel, ricorda questa scena!",Schneemann fiel,"Ein Schneemann fiel, eine Tasse zerbrach."
Ma loro con gioia — in zampate doppie.,zampate doppie,"zampate doppie fa rima con Doppeltatzensprünge, ricorda questa scena!",Doppeltatzensprünge,Aber sie rannten fröhlich – in Doppeltatzensprüngen.
"Sotto un abete lucente e gentile,",abete lucente,"abete lucente fa rima con leuchtende Tanne, ricorda questa scena!",leuchtende Tanne,"Unter einer leuchtenden, sanften Tanne."
"Fecero le fusa, di modo infantile.",le fusa,"le fusa fa rima con Schnurren, ricorda questa scena!",Schnurren,"Schnurrten sie, kindlich wie nie."
Ventesimo Scherzo – Fuga al Tramonto,Fuga al Tramonto,"Fuga al Tramonto fa rima con Flucht im Sonnenuntergang, ricorda questa scena!",Flucht im Sonnenuntergang,Zwanzigster Streich – Flucht im Sonnenuntergang.
"Alla stazione Rehberge, vicino al binario,",stazione Rehberge,"stazione Rehberge fa rima con Bahnhof Rehberge, ricorda questa scena!",Bahnhof Rehberge,"Am Bahnhof Rehberge, nahe dem Gleis."
"Dove i piccioni fan coro gregario,",coro gregario,"coro gregario fa rima con taubenhafter Chor, ricorda questa scena!",taubenhafter Chor,Wo Tauben einen taubenhaften Chor bilden.
"Aspettaron il treno come pendolari,",come pendolari,"come pendolari fa rima con wie Pendler, ricorda questa scena!",wie Pendler,Sie warteten wie Pendler auf den Zug.
Con occhi brillanti e baffi singolari.,occhi brillanti,"occhi brillanti fa rima con glänzende Augen, ricorda questa scena!",glänzende Augen,Mit glänzenden Augen und einzigartigen Schnurrhaaren.
Le porte si apron — ed ecco il salto!,ecco il salto,"ecco il salto fa rima con da ist der Sprung, ricorda questa scena!",da ist der Sprung,Die Türen öffnen sich — da ist der Sprung!
Su uno zaino corrono — senza un sussulto.,zaino,"zaino fa rima con Rucksack, ricorda questa scena!",Rucksack,Sie rennen über einen Rucksack — ohne zu zucken.
"I passeggeri scuotono la testa,",scuotono la testa,"scuotono la testa fa rima con schütteln den Kopf, ricorda questa scena!",schütteln den Kopf,Die Passagiere schütteln den Kopf.
“Berlino e i suoi gatti — sempre in festa.”,sempre in festa,"sempre in festa fa rima con immer im Fest, ricorda questa scena!",immer im Fest,„Berlin und seine Katzen – immer im Fest.“
Ventunesimo Scherzo – Festival della Birra,Festival della Birra,"Festival della Birra fa rima con Bierfestival, ricorda questa scena!",Bierfestival,Einundzwanzigster Streich – Bierfestival.
"Al festival sotto i tendoni dorati,",tendoni dorati,"tendoni dorati fa rima con goldene Zelte, ricorda questa scena!",goldene Zelte,Beim Festival unter den goldenen Zelten.
"Tra boccali e pretzel ben salati,",boccali e pretzel,"boccali e pretzel fa rima con Bierkrüge und Brezeln, ricorda questa scena!",Bierkrüge und Brezeln,Zwischen Bierkrügen und gut gesalzenen Brezeln.
"I gatti sgattaiolan tra stivali e risate,",sgattaiolan tra stivali,"sgattaiolan tra stivali fa rima con schleichen zwischen Stiefeln, ricorda questa scena!",schleichen zwischen Stiefeln,Die Katzen schleichen zwischen Stiefeln und Lachen.
Furbi e veloci tra sedie accatastate.,sedie accatastate,"sedie accatastate fa rima con gestapelte Stühle, ricorda questa scena!",gestapelte Stühle,Schlau und schnell zwischen gestapelten Stühlen.
"Ciri salta su un tavolo in festa,",tavolo in festa,"tavolo in festa fa rima con Festtisch, ricorda questa scena!",Festtisch,Ciri springt auf einen Festtisch.
Cappuccino annusa una birra lesta.,birra lesta,"birra lesta fa rima con flinke Bierflasche, ricorda questa scena!",flinke Bierflasche,Cappuccino schnuppert an einer flinken Bierflasche.
"Con una zampa la spinge un po’,",una zampa,"una zampa fa rima con eine Pfote, ricorda questa scena!",eine Pfote,Mit einer Pfote schiebt er sie ein wenig.
"E schiuma e birra — splash sul pavé, toh!",schiuma e birra,"schiuma e birra fa rima con Schaum und Bier, ricorda questa scena!",Schaum und Bier,"Und Schaum und Bier – splash auf das Pflaster, oh!"
Ventiduesimo Scherzo – Giardino Botanico,Giardino Botanico,"Giardino Botanico fa rima con Botanischer Garten, ricorda questa scena!",Botanischer Garten,Zweiundzwanzigster Streich – Botanischer Garten.
"Tra fiori rari e serre in vetro,",fiori rari,"fiori rari fa rima con seltene Blumen, ricorda questa scena!",seltene Blumen,Zwischen seltenen Blumen und gläsernen Gewächshäusern.
"Dove tutto è ordine e decoro perfetto,",ordine e decoro perfetto,"ordine e decoro perfetto fa rima con Ordnung und perfekte Zier, ricorda questa scena!",Ordnung und perfekte Zier,Wo alles Ordnung und perfekte Zier war.
"I due felini entrarono in scena,",entrarono in scena,"entrarono in scena fa rima con traten auf die Bühne, ricorda questa scena!",traten auf die Bühne,Die zwei Katzen traten auf die Bühne.
Tra orchidee e ninfee — una vera pena.,orchidee e ninfee,"orchidee e ninfee fa rima con Orchideen und Seerosen, ricorda questa scena!",Orchideen und Seerosen,Zwischen Orchideen und Seerosen – welch ein Drama.
"Ciri rincorse una farfalla blu,",farfalla blu,"farfalla blu fa rima con blauer Schmetterling, ricorda questa scena!",blauer Schmetterling,Ciri jagte einem blauen Schmetterling nach.
Cappuccino rovesciò un cactus giù.,rovesciò un cactus,"rovesciò un cactus fa rima con warf einen Kaktus um, ricorda questa scena!",warf einen Kaktus um,Cappuccino warf einen Kaktus um.
"“Attenzione alle zampe!” urlò la guida,",Attenzione alle zampe,"Attenzione alle zampe fa rima con Achtung auf die Pfoten, ricorda questa scena!",Achtung auf die Pfoten,"„Achtung auf die Pfoten!“, rief der Führer."
"Ma i gatti già via, come una sfida.",come una sfida,"come una sfida fa rima con wie eine Herausforderung, ricorda questa scena!",wie eine Herausforderung,Aber die Katzen waren schon weg – wie eine Herausforderung.
Ventitreesimo Scherzo – Lezione Interrotta,Lezione Interrotta,"Lezione Interrotta fa rima con Unterbrochene Vorlesung, ricorda questa scena!",Unterbrochene Vorlesung,Dreiundzwanzigster Streich – Unterbrochene Vorlesung.
"All’università, tra aule e caffè,",tra aule e caffè,"tra aule e caffè fa rima con zwischen Hörsälen und Kaffee, ricorda questa scena!",zwischen Hörsälen und Kaffee,"An der Uni, zwischen Hörsälen und Kaffee."
"I mici si infilano, piano com’è.",si infilano,"si infilano fa rima con schleichen sich hinein, ricorda questa scena!",schleichen sich hinein,Die Katzen schleichen sich leise hinein.
"Durante una lezione di sociologia,",lezione di sociologia,"lezione di sociologia fa rima con Soziologievorlesung, ricorda questa scena!",Soziologievorlesung,Während einer Soziologievorlesung.
Si senton miagolii con certa energia.,miagolii con energia,"miagolii con energia fa rima con energisches Miauen, ricorda questa scena!",energisches Miauen,Man hört energisches Miauen.
"Ciri salta sulla cattedra accesa,",cattedra accesa,"cattedra accesa fa rima con leuchtendes Pult, ricorda questa scena!",leuchtendes Pult,Ciri springt auf das leuchtende Pult.
Cappuccino morde una penna sospesa.,penna sospesa,"penna sospesa fa rima con schwebender Stift, ricorda questa scena!",schwebender Stift,Cappuccino beißt in einen schwebenden Stift.
"Il prof sospira, gli studenti ridono,",prof sospira,"prof sospira fa rima con Professor seufzt, ricorda questa scena!",Professor seufzt,"Der Professor seufzt, die Studenten lachen."
"I gatti scappano, i cuori si stringono.",cuori si stringono,"cuori si stringono fa rima con Herzen schlagen schneller, ricorda questa scena!",Herzen schlagen schneller,"Die Katzen fliehen, die Herzen schlagen schneller."
Ventiquattresimo Scherzo – Yoga Catastrophe,Yoga Catastrophe,"Yoga Catastrophe fa rima con Yoga-Katastrophe, ricorda questa scena!",Yoga-Katastrophe,Vierundzwanzigster Streich – Yoga-Katastrophe.
"Nel parco, un gruppo fa yoga al tramonto,",yoga al tramonto,"yoga al tramonto fa rima con Yoga bei Sonnenuntergang, ricorda questa scena!",Yoga bei Sonnenuntergang,Im Park macht eine Gruppe Yoga bei Sonnenuntergang.
"Silenzio e respiro, il ritmo è pronto.",Silenzio e respiro,"Silenzio e respiro fa rima con Stille und Atem, ricorda questa scena!",Stille und Atem,"Stille und Atem, der Rhythmus ist bereit."
"Ma dai cespugli escono i due banditi,",cespugli escono,"cespugli escono fa rima con aus den Büschen kommen, ricorda questa scena!",aus den Büschen kommen,Aber aus den Büschen kommen die zwei Banditen.
"Con salti e giochi, movimenti arditi.",salti e giochi,"salti e giochi fa rima con Sprünge und Spiele, ricorda questa scena!",Sprünge und Spiele,"Mit Sprüngen und Spielen, kühne Bewegungen."
"Ciri si infila sotto una “posizione cane”,",posizione cane,"posizione cane fa rima con Hundestellung, ricorda questa scena!",Hundestellung,Ciri schlüpft unter eine „Hundestellung“.
Cappuccino lecca una schiena con stranezze umane.,lecca una schiena,"lecca una schiena fa rima con leckt einen Rücken, ricorda questa scena!",leckt einen Rücken,Cappuccino leckt einen Rücken – ganz seltsam.
"“Om...” si trasforma in risate totali,",Om si trasforma,"Om si trasforma fa rima con Om wird zu, ricorda questa scena!",Om wird zu,„Om...“ verwandelt sich in totales Lachen.
I gatti scappano — ma sono geniali.,gatti scappano,"gatti scappano fa rima con Katzen fliehen, ricorda questa scena!",Katzen fliehen,Die Katzen fliehen – aber sie sind genial.
Venticinquesimo Scherzo – Mercato del Pesce,Mercato del Pesce,"Mercato del Pesce fa rima con Fischmarkt, ricorda questa scena!",Fischmarkt,Fünfundzwanzigster Streich – Fischmarkt.
"Al mercato dove il pesce è fresco,",pesce fresco,"pesce fresco fa rima con frischer Fisch, ricorda questa scena!",frischer Fisch,"Auf dem Markt, wo der Fisch frisch ist."
I due senton l’odore — non è mai lo stesso.,odore,"odore fa rima con Geruch, ricorda questa scena!",Geruch,Die beiden riechen – es ist immer ein neuer Geruch.
"Tra banchi bagnati e urla dei venditori,",banchi bagnati,"banchi bagnati fa rima con nasse Stände, ricorda questa scena!",nasse Stände,Zwischen nassen Ständen und den Rufen der Händler.
I mici si muovon come predatori.,predatori,"predatori fa rima con Raubtiere, ricorda questa scena!",Raubtiere,Die Katzen bewegen sich wie Raubtiere.
"Un polpo sparisce, un gambero vola,",polpo sparisce,"polpo sparisce fa rima con Krake verschwindet, ricorda questa scena!",Krake verschwindet,"Ein Krake verschwindet, eine Garnele fliegt."
"Ciri ringhia fiero, Cappuccino si scola",ringhia fiero,"ringhia fiero fa rima con knurrt stolz, ricorda questa scena!",knurrt stolz,"Ciri knurrt stolz, Cappuccino leert den Fang."
Un’aringa lasciata sul ghiaccio.,aringa sul ghiaccio,"aringa sul ghiaccio fa rima con Hering auf Eis, ricorda questa scena!",Hering auf Eis,Ein Hering bleibt auf dem Eis zurück.
“Ma questi gatti son proprio un impaccio!”,un impaccio,"un impaccio fa rima con eine Plage, ricorda questa scena!",eine Plage,„Diese Katzen sind wirklich eine Plage!“
Ventiseiesimo Scherzo – Wedding in Bicicletta,Wedding in Bicicletta,"Wedding in Bicicletta fa rima con Wedding per Fahrrad, ricorda questa scena!",Wedding per Fahrrad,Sechsundzwanzigster Streich – Wedding per Fahrrad.
"Una bici pubblica, parcheggiata a caso,",bici pubblica,"bici pubblica fa rima con öffentliches Fahrrad, ricorda questa scena!",öffentliches Fahrrad,"Ein öffentliches Fahrrad, zufällig geparkt."
Diventa per loro un mezzo di spasso.,mezzo di spasso,"mezzo di spasso fa rima con Spaßfahrzeug, ricorda questa scena!",Spaßfahrzeug,Wird für sie ein echtes Spaßfahrzeug.
"Ciri sul sellino, con sguardo deciso,",Ciri sul sellino,"Ciri sul sellino fa rima con Ciri auf dem Sattel, ricorda questa scena!",Ciri auf dem Sattel,"Ciri sitzt auf dem Sattel, mit entschlossenem Blick."
Cappuccino spinge con passo preciso.,passo preciso,"passo preciso fa rima con präziser Schritt, ricorda questa scena!",präziser Schritt,Cappuccino schiebt mit präzisem Schritt.
"Qualcuno riprende, finisce su TikTok,",TikTok,"TikTok fa rima con TikTok, ricorda questa scena!",TikTok,Jemand filmt – es landet auf TikTok.
"""Due gatti in bici!"" — boom di like non stop.",gatti in bici,"gatti in bici fa rima con Katzen auf Fahrrädern, ricorda questa scena!",Katzen auf Fahrrädern,„Zwei Katzen auf Fahrrädern!“ – ein Like-Boom nonstop.
"E mentre i follower aumentano ancora,",follower aumentano,"follower aumentano fa rima con Follower steigen, ricorda questa scena!",Follower steigen,Und während die Follower weiter steigen...
Loro scompaiono... all’ora dell’aurora.,all’ora dell’aurora,"all’ora dell’aurora fa rima con bei Tagesanbruch, ricorda questa scena!",bei Tagesanbruch,Verschwinden sie – bei Tagesanbruch.
Ventisettesimo Scherzo – Libreria Invasione,Libreria Invasione,"Libreria Invasione fa rima con Bücherladen-Invasion, ricorda questa scena!",Bücherladen-Invasion,Siebenundzwanzigster Streich – Bücherladen-Invasion.
"Nella libreria su Lindower Straße,",libreria su Lindower Straße,"libreria su Lindower Straße fa rima con Buchladen an der Lindower Straße, ricorda questa scena!",Buchladen an der Lindower Straße,Im Buchladen an der Lindower Straße.
"Tra romanzi, gialli e copertine rosa,",copertine rosa,"copertine rosa fa rima con rosa Einbände, ricorda questa scena!",rosa Einbände,"Zwischen Romanen, Krimis und rosa Einbänden."
"I gatti si infilano tra scaffali stretti,",scaffali stretti,"scaffali stretti fa rima con enge Regale, ricorda questa scena!",enge Regale,Die Katzen schlüpfen zwischen engen Regalen.
Leggendo a modo loro... con salti perfetti.,salti perfetti,"salti perfetti fa rima con perfekte Sprünge, ricorda questa scena!",perfekte Sprünge,Lesen auf ihre Weise... mit perfekten Sprüngen.
"Un libro cade, ne cadon altri tre,",libro cade,"libro cade fa rima con ein Buch fällt, ricorda questa scena!",ein Buch fällt,Ein Buch fällt – und noch drei mehr.
Ciri si strofina tra le edizioni di Camus e Prévert.,edizioni di Camus,"edizioni di Camus fa rima con Camus-Ausgaben, ricorda questa scena!",Camus-Ausgaben,Ciri reibt sich an Camus-Ausgaben und Klassikern.
La libraia sospira: “Son letterari…”,la libraia sospira,"la libraia sospira fa rima con die Buchhändlerin seufzt, ricorda questa scena!",die Buchhändlerin seufzt,Die Buchhändlerin seufzt: „Sie sind wohl literarisch…“
"Ma li caccia comunque, con gesti rari.",gesti rari,"gesti rari fa rima con seltene Gesten, ricorda questa scena!",seltene Gesten,Doch sie wirft sie hinaus – mit seltenen Gesten.
Ventottesimo Scherzo – Notte al Planetario,Notte al Planetario,"Notte al Planetario fa rima con Nacht im Planetarium, ricorda questa scena!",Nacht im Planetarium,Achtundzwanzigster Streich – Nacht im Planetarium.
"Tra stelle finte e luci che brillano,",stelle finte,"stelle finte fa rima con falsche Sterne, ricorda questa scena!",falsche Sterne,Zwischen falschen Sternen und strahlendem Licht.
I mici entrano quando i sogni scintillano.,sogni scintillano,"sogni scintillano fa rima con Träume funkeln, ricorda questa scena!",Träume funkeln,"Die Katzen schleichen sich hinein, wenn Träume funkeln."
"Un bambino li vede, punta il dito:",punta il dito,"punta il dito fa rima con zeigt mit dem Finger, ricorda questa scena!",zeigt mit dem Finger,Ein Kind sieht sie und zeigt mit dem Finger:
“Due gatti sulla Luna! Che mito!”,sulla Luna,"sulla Luna fa rima con auf dem Mond, ricorda questa scena!",auf dem Mond,„Zwei Katzen auf dem Mond! Was für ein Mythos!“
"Si sdraian tra seggi e proiezioni stellari,",proiezioni stellari,"proiezioni stellari fa rima con Sternprojektionen, ricorda questa scena!",Sternprojektionen,Sie legen sich zwischen Sitze und Sternprojektionen.
Facendo le fusa tra comete e pianari.,comete e pianari,"comete e pianari fa rima con Kometen und Planeten, ricorda questa scena!",Kometen und Planeten,Schnurren zwischen Kometen und nahen Planeten.
"Ma quando parte il suono di un razzo finto,",razzo finto,"razzo finto fa rima con falsche Rakete, ricorda questa scena!",falsche Rakete,Doch als die falsche Rakete startet...
Scappan via come vento — un istinto!,come vento,"come vento fa rima con wie der Wind, ricorda questa scena!",wie der Wind,Sie fliehen wie der Wind – ein reiner Instinkt!
Ventinovesimo Scherzo – Falò Estivo,Falò Estivo,"Falò Estivo fa rima con Sommerliches Lagerfeuer, ricorda questa scena!",Sommerliches Lagerfeuer,Neunundzwanzigster Streich – Sommerliches Lagerfeuer.
"Sul fiume c’è musica, un falò acceso,",sul fiume,"sul fiume fa rima con am Fluss, ricorda questa scena!",am Fluss,Am Fluss: Musik und ein helles Lagerfeuer.
"C’è chi canta, chi ride, chi si è già steso.",chi ride,"chi ride fa rima con wer lacht, ricorda questa scena!",wer lacht,"Einige singen, andere lachen, manche liegen schon."
"I gatti sbucano tra marshmallow e birra,",marshmallow e birra,"marshmallow e birra fa rima con Marshmallows und Bier, ricorda questa scena!",Marshmallows und Bier,Die Katzen tauchen auf zwischen Marshmallows und Bier.
Col naso sporco e la zampa che stirra.,zampa che stirra,"zampa che stirra fa rima con Pfote, die sich streckt, ricorda questa scena!","Pfote, die sich streckt",Mit schmutziger Nase und einer gestreckten Pfote.
"Ciri cerca di arrostire un wurstel,",arrostire un wurstel,"arrostire un wurstel fa rima con Würstchen grillen, ricorda questa scena!",Würstchen grillen,"Ciri versucht, ein Würstchen zu grillen."
Cappuccino lecca una torta all’anice e mirtel.,anice e mirtel,"anice e mirtel fa rima con Anis und Heidelbeere, ricorda questa scena!",Anis und Heidelbeere,Cappuccino leckt eine Torte aus Anis und Heidelbeere.
"Uno dice: “Lasciamoli stare, son dei miti!”",lasciamoli stare,"lasciamoli stare fa rima con lasst sie in Ruhe, ricorda questa scena!",lasst sie in Ruhe,Einer sagt: „Lasst sie in Ruhe – sie sind Legenden.“
E loro rispondon... con occhi infiniti.,occhi infiniti,"occhi infiniti fa rima con unendliche Augen, ricorda questa scena!",unendliche Augen,Und sie antworten... mit unendlichen Augen.
Trentesimo Scherzo – Il Gran Finale,Il Gran Finale,"Il Gran Finale fa rima con Das große Finale, ricorda questa scena!",Das große Finale,Dreißigster Streich – Das große Finale.
"Sul ponte di Tegeler, al tramonto dorato,",ponte di Tegeler,"ponte di Tegeler fa rima con Tegeler Brücke, ricorda questa scena!",Tegeler Brücke,"Auf der Tegeler Brücke, im goldenen Sonnenuntergang."
"Ciri e Cappuccino, con passo garbato,",passo garbato,"passo garbato fa rima con graziöser Schritt, ricorda questa scena!",graziöser Schritt,Ciri und Cappuccino – mit graziösem Schritt.
"Osservano Wedding e il giorno che muore,",Wedding e il giorno,"Wedding e il giorno fa rima con Wedding und der Tag, ricorda questa scena!",Wedding und der Tag,Sie betrachten Wedding und den sterbenden Tag.
Sognando le imprese del giorno anteriore.,imprese del giorno,"imprese del giorno fa rima con Taten des Tages, ricorda questa scena!",Taten des Tages,Und träumen von den Taten des vergangenen Tages.
"Poi un salto sul tram, col portone aperto,",salto sul tram,"salto sul tram fa rima con Sprung in die Straßenbahn, ricorda questa scena!",Sprung in die Straßenbahn,Dann – ein Sprung in die offene Straßenbahn.
